	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
uc007aet.1	1.11484934218703	0	0	0	0.88341062523684	0
uc007aeu.1	0	1.99034687251042	2.10517552054713	1.01963424544449	2.65023187571052	1.86009694792721
uc007aev.1	1.11484934218703	0	0	0	0	0
uc007aex.2	2.22969868437407	0.995173436255212	6.31552656164138	2.03926849088898	0	0
uc007age.1	2.22969868437407	4.97586718127606	1.05258776027356	4.07853698177796	7.95069562713156	0.930048473963603
uc007agf.1	0	0	1.05258776027356	1.01963424544449	1.76682125047368	0.930048473963603
uc007agz.1	0	0	0	1.01963424544449	0.88341062523684	0
uc011wie.1	2.22969868437407	0	0	1.01963424544449	0	2.79014542189081
uc033fhz.1	1.11484934218703	0.995173436255212	1.05258776027356	0	0	0.930048473963603
uc011wil.1	0	2.98552030876564	2.10517552054713	0	0.88341062523684	4.65024236981802
uc007aje.1	0	0	0	0	0	0.930048473963603
uc029qna.1	0	0	0	1.01963424544449	0.88341062523684	0.930048473963603
uc007akc.3	8.91879473749627	7.9613874900417	12.6310531232828	2.03926849088898	3.53364250094736	1.86009694792721
uc007ake.2	2.22969868437407	0	4.21035104109425	0	0	0
uc029qng.1	12.2633427640574	6.96621405378649	8.4207020821885	10.1963424544449	5.30046375142104	3.72019389585441
uc007aln.1	0	0	0	2.03926849088898	0	0
uc007ams.1	1.11484934218703	0	2.10517552054713	1.01963424544449	0	0.930048473963603
uc007amz.2	0	0.995173436255212	0	0	0	0
uc007anp.1	0	0	0	2.03926849088898	0	0
uc007ant.4	2.22969868437407	0.995173436255212	6.31552656164138	2.03926849088898	1.76682125047368	2.79014542189081
uc057auf.1	2.22969868437407	0	0	0	0.88341062523684	0
uc007aou.1	1.11484934218703	0	0	1.01963424544449	0	0.930048473963603
uc007aqy.2	1.11484934218703	0	0	1.01963424544449	1.76682125047368	1.86009694792721
uc007asg.1	3.3445480265611	1.99034687251042	2.10517552054713	0	0.88341062523684	1.86009694792721
uc007asz.1	0	0.995173436255212	0	0	0	0
uc007ata.1	1.11484934218703	0	0	0	0	1.86009694792721
uc007atm.1	2.22969868437407	0.995173436255212	1.05258776027356	1.01963424544449	0.88341062523684	0.930048473963603
uc007atn.2	7.80394539530924	22.8889890338699	14.7362286438299	8.15707396355592	11.4843381280789	26.9714057449445
uc007aul.1	0	0	0	1.01963424544449	0	0
uc007avp.2	2.22969868437407	1.99034687251042	1.05258776027356	2.03926849088898	3.53364250094736	2.79014542189081
uc007avv.1	0	0	0	0	0	1.86009694792721
uc007avw.1	2.22969868437407	3.98069374502085	1.05258776027356	2.03926849088898	0.88341062523684	1.86009694792721
uc007awk.1	0	0	0	0	0	0.930048473963603
uc007awx.2	3.3445480265611	7.9613874900417	4.21035104109425	4.07853698177796	3.53364250094736	3.72019389585441
uc007awy.2	0	0	0	0	0.88341062523684	0
uc007axa.1	0	0	0	1.01963424544449	0	0
uc007axj.1	3.3445480265611	2.98552030876564	4.21035104109425	2.03926849088898	0.88341062523684	20.4610664271993
uc029qoi.1	0	1.99034687251042	0	0	0	0
uc007ayu.1	1.11484934218703	0	3.15776328082069	0	0	0
uc029qoo.1	1.11484934218703	3.98069374502085	1.05258776027356	2.03926849088898	3.53364250094736	0
uc029qop.1	0	0.995173436255212	1.05258776027356	0	0	0
uc007baw.1	0	1.99034687251042	0	0	0	0
uc011wle.2	0	0	0	2.03926849088898	0.88341062523684	0.930048473963603
uc007bbp.1	0	0	0	1.01963424544449	0	0.930048473963603
uc007bcm.3	2.22969868437407	0	0	1.01963424544449	0	0
uc007bdb.1	0	0	0	0	0.88341062523684	0
uc007bdc.1	1.11484934218703	0.995173436255212	0	0	0	0
uc007bdv.1	0	3.98069374502085	0	0	0.88341062523684	1.86009694792721
uc007bdw.1	0	0	1.05258776027356	0	0	0
uc007beu.1	34.5603296077981	42.7924577589741	37.8931593698483	31.6086616087792	24.7354975066315	28.8315026928717
uc007bew.2	4.45939736874814	4.97586718127606	1.05258776027356	10.1963424544449	3.53364250094736	11.1605816875632
uc007bex.2	0	0	1.05258776027356	0	0	0
uc011wlz.3	15.6078907906185	15.9227749800834	36.8405716095747	4.07853698177796	7.95069562713156	13.0206786354904
uc057auq.1	0	1.99034687251042	0	0	1.76682125047368	0.930048473963603
uc007bgd.2	1.11484934218703	0	0	0	0	0
uc007bgg.2	0	0	1.05258776027356	0	0	0
uc007bgj.1	3.3445480265611	0.995173436255212	1.05258776027356	1.01963424544449	0	0
uc029qow.1	2.22969868437407	0.995173436255212	1.05258776027356	3.05890273633347	3.53364250094736	2.79014542189081
uc007bgm.2	0	0.995173436255212	0	3.05890273633347	0	0
uc007bhu.1	0	0	0	0	0.88341062523684	2.79014542189081
uc007bhy.2	1.11484934218703	1.99034687251042	1.05258776027356	1.01963424544449	0	0
uc007bhz.2	1.11484934218703	0	0	0	0	0
uc007bih.2	0	0	0	1.01963424544449	0	0
uc007biy.2	0	0.995173436255212	2.10517552054713	0	0	0
uc007bjb.3	0	0	1.05258776027356	0	0	0
uc011wmq.1	0	0.995173436255212	0	0	0.88341062523684	0
uc011wmr.1	0	0	0	0	0.88341062523684	0
uc029qoz.1	0	0	0	6.11780547266694	1.76682125047368	0
uc007bkg.2	3.3445480265611	17.9131218525938	9.47328984246206	2.03926849088898	9.71751687760524	2.79014542189081
uc007bkk.1	6.6890960531222	5.97104061753127	5.26293880136781	1.01963424544449	3.53364250094736	3.72019389585441
uc007bkn.1	0	0	0	0	0	0.930048473963603
uc007bld.2	1.11484934218703	0	1.05258776027356	1.01963424544449	0	0
uc007bll.1	0	0.995173436255212	0	0	0	0
uc007blq.1	0	0.995173436255212	0	0	0	0
uc007bly.2	4.45939736874814	5.97104061753127	7.36811432191494	2.03926849088898	2.65023187571052	1.86009694792721
uc007bne.1	0	1.99034687251042	1.05258776027356	2.03926849088898	4.4170531261842	5.58029084378162
uc007bnf.3	0	0	1.05258776027356	0	0	0
uc007bng.2	0	0	2.10517552054713	0	0	0
uc007bni.2	0	0	0	0	0.88341062523684	0
uc007bnl.3	3.3445480265611	1.99034687251042	0	0	3.53364250094736	0.930048473963603
uc007bno.2	7.80394539530924	17.9131218525938	12.6310531232828	12.2356109453339	11.4843381280789	11.1605816875632
uc007box.2	2.22969868437407	0.995173436255212	1.05258776027356	0	0	1.86009694792721
uc007bpn.2	1.11484934218703	0	3.15776328082069	0	0	3.72019389585441
uc007bpo.2	0	0.995173436255212	0	0	0	0
uc007bpp.3	2.22969868437407	0	1.05258776027356	0	0.88341062523684	1.86009694792721
uc007bps.1	0	0	0	0	0.88341062523684	0
uc007bqm.2	0	0	0	0	0.88341062523684	0
uc007bqq.2	0	0	0	0	0	1.86009694792721
uc011wnw.1	4.45939736874814	14.9276015438282	8.4207020821885	11.2159766998894	3.53364250094736	7.44038779170883
uc011wny.2	0	0	0	0	0.88341062523684	0
uc007bre.1	0	1.99034687251042	0	3.05890273633347	3.53364250094736	2.79014542189081
uc007brp.2	11.1484934218703	12.9372546713178	8.4207020821885	16.3141479271118	35.3364250094736	23.2512118490901
uc033fjy.2	0	1.99034687251042	4.21035104109425	14.2748794362229	13.2511593785526	4.65024236981802
uc007bsd.1	1.11484934218703	0.995173436255212	1.05258776027356	2.03926849088898	5.30046375142104	3.72019389585441
uc057auz.1	0	0	0	1.01963424544449	0	0
uc007bsw.1	1.11484934218703	1.99034687251042	3.15776328082069	1.01963424544449	1.76682125047368	0
uc007btd.1	0	0.995173436255212	0	0	0	0
uc007buu.2	0	0	0	1.01963424544449	1.76682125047368	0
uc007bvk.2	0	0	1.05258776027356	0	0	0
uc007bvn.3	0	0.995173436255212	0	0	0	0
uc007bwa.2	1.11484934218703	0	0	0	0	0
uc011wop.2	0	0	1.05258776027356	0	0	1.86009694792721
uc007bxs.1	0	0	2.10517552054713	2.03926849088898	0	1.86009694792721
uc007byr.1	0	0	0	0	0	1.86009694792721
uc007byu.1	0	0.995173436255212	3.15776328082069	1.01963424544449	1.76682125047368	0
uc029qrm.1	0	0.995173436255212	0	0	0	0
uc007bzc.1	0	4.97586718127606	5.26293880136781	0	0	0
uc007bzg.2	1.11484934218703	4.97586718127606	1.05258776027356	0	0.88341062523684	1.86009694792721
uc011wpd.1	0	0.995173436255212	0	0	0	0
uc007bzx.2	2.22969868437407	0	2.10517552054713	0	0	0.930048473963603
uc007cah.1	4.45939736874814	3.98069374502085	4.21035104109425	2.03926849088898	2.65023187571052	3.72019389585441
uc007cai.1	1.11484934218703	1.99034687251042	9.47328984246206	1.01963424544449	0.88341062523684	1.86009694792721
uc007cbd.2	1.11484934218703	0	2.10517552054713	0	0	2.79014542189081
uc007cbr.1	3.3445480265611	2.98552030876564	3.15776328082069	0	0.88341062523684	0
uc057ava.2	2.22969868437407	2.98552030876564	1.05258776027356	0	0	1.86009694792721
uc007cdw.2	0	0	0	0	0.88341062523684	0
uc029qsc.1	0	0	1.05258776027356	0	0	0
uc007cfx.1	1.11484934218703	0	1.05258776027356	0	0	0
uc007cgc.1	0	0	0	0	0.88341062523684	0.930048473963603
uc007chh.1	0	0	0	0	0.88341062523684	0
uc007chx.1	0	1.99034687251042	0	1.01963424544449	0	0.930048473963603
uc007cia.1	1.11484934218703	1.99034687251042	0	1.01963424544449	0	1.86009694792721
uc007cil.1	14.4930414484314	24.8793359063803	42.1035104109425	7.13743971811143	6.18387437665788	10.2305332135996
