	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
Xkr4	1.11484934218703	0	0	0	0.88341062523684	0
Xkr4	0	1.99034687251042	2.10517552054713	1.01963424544449	2.65023187571052	1.86009694792721
Rp1	2.22969868437407	0.995173436255212	6.31552656164138	2.03926849088898	0	0
Gm26901	2.22969868437407	4.97586718127606	1.05258776027356	4.07853698177796	7.95069562713156	0.930048473963603
Mcmdc2	0	0	0	1.01963424544449	0.88341062523684	0
Mcmdc2	2.22969868437407	0	0	1.01963424544449	0	2.79014542189081
Tcf24	1.11484934218703	0.995173436255212	1.05258776027356	0	0	0.930048473963603
Gm5523	0	2.98552030876564	2.10517552054713	0	0.88341062523684	4.65024236981802
Kcnb2	0	0	0	0	0	0.930048473963603
D030040B21Rik	0	0	0	1.01963424544449	0.88341062523684	0.930048473963603
Pi15	2.22969868437407	0	4.21035104109425	0	0	0
6720483E21Rik	12.2633427640574	6.96621405378649	8.4207020821885	10.1963424544449	5.30046375142104	3.72019389585441
Khdc1a	0	0	0	2.03926849088898	0	0
4931408C20Rik	0	0.995173436255212	0	0	0	0
Khdrbs2	0	0	0	2.03926849088898	0	0
Gm26805	3.3445480265611	1.99034687251042	2.10517552054713	0	0.88341062523684	1.86009694792721
Creg2	2.22969868437407	0.995173436255212	1.05258776027356	1.01963424544449	0.88341062523684	0.930048473963603
Rfx8	7.80394539530924	22.8889890338699	14.7362286438299	8.15707396355592	11.4843381280789	26.9714057449445
Slc9a4	0	0	0	1.01963424544449	0	0
1500015O10Rik	2.22969868437407	1.99034687251042	1.05258776027356	2.03926849088898	3.53364250094736	2.79014542189081
Mettl21c	0	0	0	0	0	1.86009694792721
Mettl21c	2.22969868437407	3.98069374502085	1.05258776027356	2.03926849088898	0.88341062523684	1.86009694792721
Mettl21e	0	0	0	0	0	0.930048473963603
Dnah7b	3.3445480265611	7.9613874900417	4.21035104109425	4.07853698177796	3.53364250094736	3.72019389585441
Tmeff2	3.3445480265611	2.98552030876564	4.21035104109425	2.03926849088898	0.88341062523684	20.4610664271993
1700019A02Rik	1.11484934218703	0	3.15776328082069	0	0	0
Aox2	0	0	0	1.01963424544449	0	0.930048473963603
Als2cr12	2.22969868437407	0	0	1.01963424544449	0	0
Als2cr11	0	0	0	0	0.88341062523684	0
Als2cr11	1.11484934218703	0.995173436255212	0	0	0	0
Gm973	0	3.98069374502085	0	0	0.88341062523684	1.86009694792721
