	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
Irs1	11.1484934218703	12.9372546713178	8.4207020821885	16.3141479271118	35.3364250094736	23.2512118490901
Tfcp2l1	14.4930414484314	24.8793359063803	42.1035104109425	7.13743971811143	6.18387437665788	10.2305332135996
Ptprv	36.7900282921721	53.7393655577815	26.3146940068391	3.05890273633347	11.4843381280789	9.30048473963603
Entpd2	6.6890960531222	12.9372546713178	18.9465796849241	5.09817122722245	5.30046375142104	2.79014542189081
Ptgds	6.6890960531222	0.995173436255212	0	11.2159766998894	14.1345700037894	15.8108240573813
Morn5	17.8375894749925	21.8938155976147	14.7362286438299	10.1963424544449	3.53364250094736	3.72019389585441
Galnt3	4.45939736874814	21.8938155976147	7.36811432191494	24.4712218906678	33.5696037589999	21.3911149011629
Nutm1	2.22969868437407	0.995173436255212	2.10517552054713	12.2356109453339	6.18387437665788	10.2305332135996
Ggt7	3.3445480265611	3.98069374502085	4.21035104109425	9.17670820900041	18.5516231299736	13.950727109454
Bmp7	4.45939736874814	1.99034687251042	1.05258776027356	11.2159766998894	11.4843381280789	13.0206786354904
Ptx3	0	5.97104061753127	3.15776328082069	14.2748794362229	29.1525506328157	10.2305332135996
Sh3d19	40.1345763187332	59.7104061753127	47.3664492123103	76.4725684083368	61.8387437665788	80.9142172348335
Tox	4.45939736874814	1.99034687251042	3.15776328082069	13.2552451907784	11.4843381280789	20.4610664271993
Tox	1.11484934218703	0	0	0	0	0
Tox	0	0	0	0	0	0.930048473963603
Ptpn3	32.330630923424	39.8069374502085	50.524212493131	12.2356109453339	12.3677487533158	10.2305332135996
Foxd2	10.0336440796833	10.9469077988073	4.21035104109425	21.4123191543343	14.1345700037894	22.3211633751265
Col9a2	2.22969868437407	2.98552030876564	2.10517552054713	8.15707396355592	15.9013912542631	13.950727109454
Tcea3	23.4118361859277	43.7876311952293	51.5768002534046	18.3534164180008	10.6009275028421	13.0206786354904
Kcnk3	13.3781921062444	9.95173436255212	11.5784653630092	0	0	1.86009694792721
Lrrc8d	31.2157815812369	39.8069374502085	43.1560981712161	8.15707396355592	11.4843381280789	5.58029084378162
Cyp3a13	25.6415348703018	19.9034687251042	31.5776328082069	0	0.88341062523684	0
Gkn1	0	0	0	9.17670820900041	8.8341062523684	13.950727109454
Alox5	0	0	0	0	0.88341062523684	0
Alox5	8.91879473749627	17.9131218525938	15.7888164041034	4.07853698177796	2.65023187571052	2.79014542189081
Nccrp1	4.45939736874814	12.9372546713178	18.9465796849241	0	0	0
Cpxm2	6.6890960531222	13.932428107573	8.4207020821885	2.03926849088898	0	0.930048473963603
Cpxm2	0	0.995173436255212	0	0	0	0
Ascl2	3.3445480265611	4.97586718127606	3.15776328082069	10.1963424544449	22.085265630921	10.2305332135996
Exph5	5.57424671093517	5.97104061753127	11.5784653630092	22.4319533997788	16.7848018795	17.6709210053085
Acsbg1	5.57424671093517	8.95656092629691	12.6310531232828	1.01963424544449	0.88341062523684	2.79014542189081
Pstpip1	22.2969868437407	45.7779780677398	35.7879838493011	7.13743971811143	20.3184443804473	5.58029084378162
Slc9a9	18.9524388171796	19.9034687251042	13.6836408835563	36.7068328360017	54.7714587646841	26.9714057449445
Acpp	3.3445480265611	0.995173436255212	1.05258776027356	22.4319533997788	21.2018550056842	8.37043626567243
Acpp	2.22969868437407	0	0	0	0	0
Ltf	86.9582486905886	154.251882619558	141.046759876657	9.17670820900041	5.30046375142104	36.2718904845805
Xirp1	5.57424671093517	9.95173436255212	30.5250450479333	1.01963424544449	0.88341062523684	0.930048473963603
Bmp15	12.2633427640574	17.9131218525938	14.7362286438299	1.01963424544449	1.76682125047368	0
Slc1a6	11.1484934218703	11.9420812350625	4.21035104109425	19.3730506634453	18.5516231299736	28.8315026928717
Slc26a10	12.2633427640574	15.9227749800834	25.2621062465655	0	1.76682125047368	0
Obscn	7.80394539530924	15.9227749800834	13.6836408835563	2.03926849088898	0	2.79014542189081
Obscn	0	0	0	0	0.88341062523684	0
Sgca	17.8375894749925	11.9420812350625	13.6836408835563	2.03926849088898	7.95069562713156	5.58029084378162
Kcnh4	12.2633427640574	11.9420812350625	17.8939919246506	3.05890273633347	2.65023187571052	3.72019389585441
Wnt9b	8.91879473749627	5.97104061753127	16.841404164377	0	0	0
Meox2	4.45939736874814	7.9613874900417	5.26293880136781	28.5497588724457	45.0539418870788	49.292569120071
BC067074	0	5.97104061753127	1.05258776027356	5.09817122722245	17.6682125047368	10.2305332135996
Cbln3	4.45939736874814	3.98069374502085	1.05258776027356	11.2159766998894	15.9013912542631	9.30048473963603
Phf11a	5.57424671093517	12.9372546713178	21.0517552054713	2.03926849088898	1.76682125047368	4.65024236981802
Ly6c2	5.57424671093517	10.9469077988073	13.6836408835563	3.05890273633347	0.88341062523684	1.86009694792721
Itgb7	23.4118361859277	33.8358968326772	35.7879838493011	8.15707396355592	4.4170531261842	11.1605816875632
Tnxb	24.5266855281147	44.7828046314846	36.8405716095747	12.2356109453339	11.4843381280789	24.1812603230537
Tnxb	8.91879473749627	6.96621405378649	5.26293880136781	3.05890273633347	3.53364250094736	7.44038779170883
Ppp1r3c	4.45939736874814	5.97104061753127	1.05258776027356	14.2748794362229	10.6009275028421	12.0906301615268
